idx,orig_label,fidelity_drop,confidence,stability_no_stopwords,stability_no_punct,topk_overlap,xai_change,label_flip,robust_expl,fidelity_norm,stability_norm,agreement_norm,robustness_norm,ERS
59,positive,0.9983439776697196,0.9990158081054688,0.4,0.6,0.375,0.6,0,0.4,0.9997443266011756,0.4987531172069836,0.4279600570613415,0.4987531172069836,0.6063026545191211
60,positive,0.998377931478899,0.998834192752838,0.2,1.0,0.5,0.8,0,0.19999999999999996,0.9997780598840333,0.2493765586034918,0.570613409415122,0.24937655860349175,0.5172861466265347
61,neutral,-0.0001088976860046,0.999076247215271,0.2,0.2,0.625,0.8,0,0.19999999999999996,0.007776294781095839,0.2493765586034918,0.7132667617689025,0.24937655860349175,0.30494904343924545
62,neutral,-0.0130312442779541,0.9862030744552612,0.0,0.8,0.375,1.0,0,0.0,0.0,0.0,0.4279600570613415,0.0,0.10699001426533537
63,neutral,-4.476308822631836e-05,0.9991254210472108,0.2,0.2,0.25,0.8,0,0.19999999999999996,0.00784001283159174,0.2493765586034918,0.285306704707561,0.24937655860349175,0.19797495868653406
64,neutral,-1.1920928955078125e-06,0.9991394281387328,0.0,0.4,0.375,1.0,0,0.0,0.007883300838016027,0.0,0.4279600570613415,0.0,0.10896083947483938
65,neutral,-1.3709068298339844e-05,0.9991812109947203,0.4,0.2,0.25,0.6,0,0.4,0.00787086515901589,0.4987531172069836,0.285306704707561,0.4987531172069836,0.32267095107013605
66,neutral,4.887580871582031e-06,0.9991909861564636,0.2,0.6,0.5,0.8,0,0.19999999999999996,0.007889341024958951,0.2493765586034918,0.570613409415122,0.24937655860349175,0.2693139669117661
67,neutral,0.0002055168151855,0.99910306930542,0.2,0.4,0.625,0.8,0,0.19999999999999996,0.008088667194075387,0.2493765586034918,0.7132667617689025,0.24937655860349175,0.30502713654249036
68,positive,0.0007343888282775,0.9989835619926452,0.6,0.8,0.625,0.4,0,0.6,0.008614104240590661,0.7481296758104754,0.7132667617689025,0.7481296758104754,0.554535054407611
69,negative,0.9973630474996752,0.998164713382721,0.4,0.6,0.375,0.6,0,0.4,0.9987697674665894,0.4987531172069836,0.4279600570613415,0.4987531172069836,0.6060590147354745
70,positive,0.9982758155092596,0.998891532421112,0.6,0.2,0.5,0.4,0,0.6,0.9996766071465826,0.7481296758104754,0.570613409415122,0.7481296758104754,0.7666373420456638
71,neutral,0.0001175999641418,0.9991914629936218,0.4,0.8,0.625,0.6,0,0.4,0.008001321353479187,0.4987531172069836,0.7132667617689025,0.4987531172069836,0.4296935793840872
72,positive,0.9979458686430008,0.9990378618240356,0.6,0.8,0.375,0.4,0,0.6,0.9993488032495671,0.7481296758104754,0.4279600570613415,0.7481296758104754,0.7308920529829648
73,negative,0.9644308350980282,0.9985328912734984,0.4,0.6,0.625,0.6,0,0.4,0.966051446225936,0.4987531172069836,0.7132667617689025,0.4987531172069836,0.6692061106022014
